#{"t_start": 1759717273.3656478, "env_id": "CartPole-v1"}
r,l,t
18.0,18,0.415771
19.0,19,0.420566
21.0,21,0.425586
28.0,28,0.432192
24.0,24,0.437892
33.0,33,0.446165
46.0,46,0.458121
45.0,45,0.469557
12.0,12,0.47236
11.0,11,0.475378
23.0,23,0.480751
34.0,34,0.489336
16.0,16,0.493162
12.0,12,0.496197
14.0,14,0.499549
19.0,19,0.504024
32.0,32,0.511593
16.0,16,0.515566
11.0,11,0.518017
23.0,23,0.523723
17.0,17,0.527903
13.0,13,0.531254
12.0,12,0.534189
10.0,10,0.53659
11.0,11,0.539413
14.0,14,0.542918
13.0,13,0.546098
10.0,10,0.548709
37.0,37,0.557776
38.0,38,0.567299
19.0,19,0.572231
10.0,10,0.574603
26.0,26,0.581068
11.0,11,0.583569
12.0,12,0.586336
18.0,18,0.591037
18.0,18,0.595247
25.0,25,0.601215
15.0,15,0.604982
9.0,9,0.60747
14.0,14,0.611744
36.0,36,0.620833
53.0,53,0.634123
22.0,22,0.639297
15.0,15,0.643213
14.0,14,0.646601
24.0,24,0.652327
50.0,50,0.663925
22.0,22,0.669426
46.0,46,0.680886
20.0,20,0.68552
21.0,21,0.691066
9.0,9,0.693302
19.0,19,0.698012
12.0,12,0.700782
28.0,28,0.707797
16.0,16,0.711605
14.0,14,0.71497
18.0,18,0.719221
73.0,73,0.736572
14.0,14,0.740068
41.0,41,0.749828
13.0,13,0.753137
27.0,27,0.759786
22.0,22,0.764856
14.0,14,0.768057
28.0,28,0.774926
30.0,30,0.781462
11.0,11,0.784534
17.0,17,0.788583
30.0,30,0.79573
26.0,26,0.802055
11.0,11,0.80483
20.0,20,0.809476
32.0,32,0.817644
16.0,16,0.821195
15.0,15,0.824977
22.0,22,0.830086
10.0,10,0.832931
12.0,12,0.835714
11.0,11,0.838602
17.0,17,0.842733
19.0,19,0.847008
24.0,24,0.852688
9.0,9,0.855128
11.0,11,0.857777
11.0,11,0.860327
18.0,18,0.865072
11.0,11,0.867522
29.0,29,0.874981
99.0,99,0.898424
25.0,25,0.904794
20.0,20,0.909855
13.0,13,4.347203
36.0,36,4.35643
15.0,15,4.359988
46.0,46,4.370462
76.0,76,4.387838
17.0,17,4.391782
22.0,22,4.396752
34.0,34,4.404341
12.0,12,4.407169
51.0,51,4.420122
12.0,12,4.423198
16.0,16,4.427252
85.0,85,4.448524
31.0,31,4.455958
46.0,46,4.467134
16.0,16,4.470967
54.0,54,4.484387
39.0,39,4.494223
9.0,9,4.496356
19.0,19,4.50168
49.0,49,4.514214
23.0,23,4.519621
37.0,37,4.529114
32.0,32,4.536737
27.0,27,4.543165
30.0,30,4.550179
28.0,28,4.556937
54.0,54,4.569915
13.0,13,4.573166
18.0,18,4.577592
43.0,43,4.588012
14.0,14,4.591009
18.0,18,4.595884
35.0,35,4.604652
42.0,42,4.614927
27.0,27,4.621793
12.0,12,4.624817
28.0,28,4.631634
54.0,54,4.644409
84.0,84,4.665083
26.0,26,4.671279
48.0,48,4.682959
31.0,31,4.690308
113.0,113,4.717368
40.0,40,4.726795
33.0,33,4.734834
11.0,11,4.737661
17.0,17,4.741163
54.0,54,4.753327
20.0,20,4.758047
52.0,52,4.769287
25.0,25,4.775697
42.0,42,4.786024
32.0,32,4.794885
44.0,44,4.806639
25.0,25,4.813323
70.0,70,4.831168
20.0,20,4.835821
24.0,24,4.841806
24.0,24,8.215577
91.0,91,8.237284
19.0,19,8.241425
23.0,23,8.247188
23.0,23,8.252455
28.0,28,8.259255
139.0,139,8.290819
28.0,28,8.297224
35.0,35,8.305192
188.0,188,8.348418
106.0,106,8.372363
171.0,171,8.411857
129.0,129,8.441456
28.0,28,8.448173
40.0,40,8.457287
58.0,58,8.47056
19.0,19,8.474903
61.0,61,8.488682
39.0,39,8.497175
145.0,145,8.531059
141.0,141,8.563705
100.0,100,8.586815
30.0,30,8.593626
96.0,96,8.615406
15.0,15,8.61838
101.0,101,8.643117
27.0,27,8.649557
149.0,149,8.684208
54.0,54,12.11991
246.0,246,12.176935
141.0,141,12.210793
308.0,308,12.284388
171.0,171,12.325704
230.0,230,12.379831
189.0,189,12.423236
102.0,102,12.44659
260.0,260,12.507371
421.0,421,16.048885
242.0,242,16.106436
304.0,304,16.178614
248.0,248,16.236718
237.0,237,16.29295
336.0,336,16.371092
156.0,156,16.408504
207.0,207,16.456026
320.0,320,19.966677
243.0,243,20.024463
267.0,267,20.086733
290.0,290,20.154339
500.0,500,20.271447
460.0,460,20.380785
243.0,243,23.81456
365.0,365,23.896409
500.0,500,24.004174
396.0,396,24.0976
464.0,464,24.204056
406.0,406,27.686194
500.0,500,27.801348
500.0,500,27.916686
431.0,431,28.015888
500.0,500,28.131304
500.0,500,31.618626
500.0,500,31.729656
500.0,500,31.83827
500.0,500,31.945736
500.0,500,35.431972
500.0,500,35.548319
500.0,500,35.663367
500.0,500,35.777772
500.0,500,39.254989
500.0,500,39.369779
500.0,500,39.487447
500.0,500,39.604341
500.0,500,43.090063
500.0,500,43.204835
500.0,500,43.319056
500.0,500,43.43407
500.0,500,46.931518
500.0,500,47.047551
500.0,500,47.163181
500.0,500,47.279193
500.0,500,50.790421
500.0,500,50.906145
500.0,500,51.022605
500.0,500,51.13794
500.0,500,54.592613
500.0,500,54.709708
500.0,500,54.827273
500.0,500,54.943476
500.0,500,58.428705
500.0,500,58.545252
500.0,500,58.661327
500.0,500,58.777633
500.0,500,62.280543
500.0,500,62.396375
500.0,500,62.510799
500.0,500,62.625415
500.0,500,66.126283
500.0,500,66.243322
500.0,500,66.3582
500.0,500,66.473186
500.0,500,69.952967
500.0,500,70.070547
500.0,500,70.185438
500.0,500,70.305402
500.0,500,70.420955
500.0,500,73.898957
500.0,500,74.013605
500.0,500,74.128692
500.0,500,74.24298
500.0,500,77.7373
500.0,500,77.852707
500.0,500,77.967859
500.0,500,78.083081
