#{"t_start": 1759717273.366295, "env_id": "CartPole-v1"}
r,l,t
37.0,37,0.419953
27.0,27,0.426417
30.0,30,0.433484
17.0,17,0.437507
21.0,21,0.443006
19.0,19,0.447645
48.0,48,0.460072
14.0,14,0.463638
12.0,12,0.466705
22.0,22,0.472106
20.0,20,0.476998
12.0,12,0.479767
49.0,49,0.492088
14.0,14,0.495605
11.0,11,0.49823
18.0,18,0.502239
24.0,24,0.508144
14.0,14,0.511465
36.0,36,0.520118
17.0,17,0.524325
23.0,23,0.530131
18.0,18,0.534621
23.0,23,0.540247
13.0,13,0.543498
19.0,19,0.548313
24.0,24,0.553901
22.0,22,0.559514
16.0,16,0.563775
25.0,25,0.569968
12.0,12,0.573047
26.0,26,0.57945
25.0,25,0.585135
14.0,14,0.589056
12.0,12,0.591648
30.0,30,0.598756
18.0,18,0.603309
27.0,27,0.611132
28.0,28,0.618234
13.0,13,0.621485
28.0,28,0.628595
25.0,25,0.634632
14.0,14,0.63796
16.0,16,0.642101
11.0,11,0.644841
13.0,13,0.647794
13.0,13,0.650981
22.0,22,0.656038
39.0,39,0.665688
28.0,28,0.672184
30.0,30,0.67979
20.0,20,0.684443
34.0,34,0.693126
30.0,30,0.700388
19.0,19,0.705197
17.0,17,0.709067
24.0,24,0.715104
14.0,14,0.718354
38.0,38,0.727031
39.0,39,0.736727
22.0,22,0.742083
13.0,13,0.745291
14.0,14,0.748568
13.0,13,0.751708
50.0,50,0.763755
20.0,20,0.768587
13.0,13,0.771972
20.0,20,0.77621
44.0,44,0.78685
23.0,23,0.792007
29.0,29,0.799134
12.0,12,0.802099
18.0,18,0.80673
17.0,17,0.810399
15.0,15,0.814241
26.0,26,0.820593
21.0,21,0.825899
18.0,18,0.830015
30.0,30,0.837689
14.0,14,0.841188
13.0,13,0.844063
20.0,20,0.848756
13.0,13,0.851714
37.0,37,0.860989
12.0,12,0.864212
16.0,16,0.867756
52.0,52,0.880684
16.0,16,0.884333
53.0,53,0.897138
21.0,21,0.902287
14.0,14,0.905749
16.0,16,0.910125
21.0,21,4.349753
16.0,16,4.353686
46.0,46,4.364374
24.0,24,4.369858
23.0,23,4.375009
20.0,20,4.379551
25.0,25,4.385298
31.0,31,4.392478
37.0,37,4.400741
27.0,27,4.406973
19.0,19,4.411686
31.0,31,4.419735
62.0,62,4.435473
17.0,17,4.439782
42.0,42,4.450089
14.0,14,4.453441
25.0,25,4.459403
89.0,89,4.481293
23.0,23,4.486826
35.0,35,4.495751
15.0,15,4.500087
106.0,106,4.526728
55.0,55,4.540216
23.0,23,4.545204
36.0,36,4.553968
55.0,55,4.566997
15.0,15,4.570785
29.0,29,4.577913
36.0,36,4.586686
21.0,21,4.591649
38.0,38,4.601279
37.0,37,4.610598
25.0,25,4.616836
18.0,18,4.62118
15.0,15,4.62502
138.0,138,4.65828
137.0,137,4.69113
19.0,19,4.695813
29.0,29,4.702713
14.0,14,4.706186
40.0,40,4.715849
16.0,16,4.719706
39.0,39,4.728772
21.0,21,4.733898
93.0,93,4.754813
20.0,20,4.759741
92.0,92,4.781023
15.0,15,4.784908
35.0,35,4.794532
13.0,13,4.798332
16.0,16,4.802214
44.0,44,4.814349
90.0,90,4.83666
17.0,17,4.840705
15.0,15,4.843966
118.0,118,8.240006
19.0,19,8.244837
103.0,103,8.26914
92.0,92,8.289617
93.0,93,8.311078
23.0,23,8.316578
73.0,73,8.333178
76.0,76,8.350396
134.0,134,8.380875
128.0,128,8.410391
217.0,217,8.460647
29.0,29,8.467089
75.0,75,8.484501
134.0,134,8.514986
105.0,105,8.539486
36.0,36,8.547653
18.0,18,8.551627
46.0,46,8.562429
71.0,71,8.578501
218.0,218,8.629062
26.0,26,8.635453
59.0,59,8.649393
65.0,65,8.664787
258.0,258,12.147795
178.0,178,12.189464
173.0,173,12.229795
42.0,42,12.239719
234.0,234,12.296704
126.0,126,12.327195
14.0,14,12.33031
21.0,21,12.335445
98.0,98,12.359062
