#{"t_start": 1759717273.366295, "env_id": "CartPole-v1"}
r,l,t
64.0,64,12.374021
208.0,208,12.421314
221.0,221,12.472358
233.0,233,12.526904
199.0,199,12.573421
177.0,177,16.058469
186.0,186,16.102388
318.0,318,16.178037
326.0,326,16.254259
324.0,324,16.33102
228.0,228,16.384373
210.0,210,16.433659
190.0,190,16.476923
134.0,134,16.507883
330.0,330,20.022572
419.0,419,20.120112
302.0,302,20.191342
369.0,369,20.277781
262.0,262,20.339931
253.0,253,20.399547
175.0,175,23.81806
367.0,367,23.900239
399.0,399,23.985504
382.0,382,24.07453
466.0,466,24.181287
491.0,491,27.682956
500.0,500,27.798258
500.0,500,27.913179
372.0,372,27.999601
500.0,500,28.115238
500.0,500,31.604219
500.0,500,31.714442
500.0,500,31.822254
500.0,500,31.930056
500.0,500,35.415005
500.0,500,35.531449
500.0,500,35.645811
500.0,500,35.761197
500.0,500,39.23808
500.0,500,39.353299
500.0,500,39.470014
500.0,500,39.587377
500.0,500,43.07349
500.0,500,43.188274
500.0,500,43.302294
500.0,500,43.417459
500.0,500,46.91467
500.0,500,47.030815
500.0,500,47.146251
500.0,500,47.262518
500.0,500,50.773663
500.0,500,50.88976
500.0,500,51.005964
500.0,500,51.12115
500.0,500,54.575522
500.0,500,54.692983
500.0,500,54.810429
500.0,500,54.926807
500.0,500,58.411893
500.0,500,58.528368
500.0,500,58.644679
500.0,500,58.760684
500.0,500,62.263551
500.0,500,62.379509
500.0,500,62.494458
500.0,500,62.608779
500.0,500,62.725112
500.0,500,66.226406
500.0,500,66.341784
500.0,500,66.456235
500.0,500,66.572194
500.0,500,70.053671
500.0,500,70.16843
500.0,500,70.288746
500.0,500,70.404766
500.0,500,73.882568
500.0,500,73.996911
500.0,500,74.112264
500.0,500,74.22664
500.0,500,77.720592
500.0,500,77.836031
500.0,500,77.951305
500.0,500,78.066528
