#{"t_start": 1759717273.367595, "env_id": "CartPole-v1"}
r,l,t
16.0,16,0.413422
13.0,13,0.416818
31.0,31,0.424251
16.0,16,0.428031
19.0,19,0.432573
14.0,14,0.435754
25.0,25,0.44222
11.0,11,0.444737
13.0,13,0.448431
15.0,15,0.452057
18.0,18,0.456742
28.0,28,0.463834
30.0,30,0.471427
43.0,43,0.481914
13.0,13,0.485169
28.0,28,0.491945
21.0,21,0.497191
16.0,16,0.500726
40.0,40,0.510568
14.0,14,0.513919
11.0,11,0.51635
13.0,13,0.51957
26.0,26,0.526009
22.0,22,0.531526
59.0,59,0.546318
16.0,16,0.550174
55.0,55,0.563976
9.0,9,0.56608
9.0,9,0.568355
12.0,12,0.571486
14.0,14,0.574695
28.0,28,0.58169
16.0,16,0.585598
13.0,13,0.588884
11.0,11,0.591518
34.0,34,0.599628
14.0,14,0.603106
20.0,20,0.609017
30.0,30,0.616628
12.0,12,0.619764
39.0,39,0.629335
12.0,12,0.632452
36.0,36,0.641334
21.0,21,0.646296
40.0,40,0.655685
13.0,13,0.658797
26.0,26,0.665321
23.0,23,0.670665
17.0,17,0.674942
12.0,12,0.678043
9.0,9,0.680106
12.0,12,0.682933
20.0,20,0.688108
42.0,42,0.698443
33.0,33,0.706528
17.0,17,0.710809
28.0,28,0.717325
26.0,26,0.723314
10.0,10,0.725531
14.0,14,0.728786
41.0,41,0.739078
18.0,18,0.74343
12.0,12,0.746462
17.0,17,0.750467
10.0,10,0.753022
10.0,10,0.755338
12.0,12,0.758333
60.0,60,0.772602
15.0,15,0.775863
16.0,16,0.779341
37.0,37,0.788423
20.0,20,0.793311
30.0,30,0.800605
34.0,34,0.808688
19.0,19,0.813546
14.0,14,0.817188
64.0,64,0.832741
15.0,15,0.836437
21.0,21,0.841495
13.0,13,0.844351
21.0,21,0.849344
18.0,18,0.853925
15.0,15,0.857556
18.0,18,0.862247
13.0,13,0.865173
29.0,29,0.872602
27.0,27,0.878981
14.0,14,0.882165
15.0,15,0.88582
16.0,16,0.889443
11.0,11,0.89222
26.0,26,0.898421
28.0,28,0.905363
24.0,24,4.346038
27.0,27,4.352904
137.0,137,4.384267
26.0,26,4.390344
12.0,12,4.393062
96.0,96,4.416127
22.0,22,4.421554
42.0,42,4.432492
55.0,55,4.445938
79.0,79,4.464992
13.0,13,4.467897
62.0,62,4.483547
15.0,15,4.487188
13.0,13,4.490652
16.0,16,4.494509
20.0,20,4.500032
47.0,47,4.51195
13.0,13,4.515248
20.0,20,4.520188
84.0,84,4.540622
21.0,21,4.545438
42.0,42,4.5555
95.0,95,4.578733
44.0,44,4.588887
37.0,37,4.598341
32.0,32,4.606573
70.0,70,4.623996
19.0,19,4.628307
38.0,38,4.637646
26.0,26,4.643627
40.0,40,4.653603
20.0,20,4.658396
73.0,73,4.675862
69.0,69,4.692471
31.0,31,4.69993
48.0,48,4.711968
21.0,21,4.716858
15.0,15,4.720466
27.0,27,4.726611
67.0,67,4.742021
20.0,20,4.746888
16.0,16,4.750405
19.0,19,4.754381
31.0,31,4.761703
68.0,68,4.777445
18.0,18,4.781998
109.0,109,4.811451
52.0,52,4.824599
80.0,80,8.212135
84.0,84,8.232403
171.0,171,8.272204
90.0,90,8.292611
23.0,23,8.297907
26.0,26,8.303902
29.0,29,8.310448
88.0,88,8.330884
28.0,28,8.337062
270.0,270,8.398868
111.0,111,8.424364
54.0,54,8.436823
74.0,74,8.454102
44.0,44,8.463934
233.0,233,8.517157
125.0,125,8.546402
32.0,32,8.55365
119.0,119,8.581064
17.0,17,8.58519
42.0,42,8.595033
15.0,15,8.598146
149.0,149,8.632884
44.0,44,8.643301
118.0,118,8.671019
347.0,347,12.174599
125.0,125,12.204632
175.0,175,12.245321
259.0,259,12.308652
52.0,52,12.32089
173.0,173,12.362531
175.0,175,12.402376
219.0,219,12.452635
153.0,153,12.488487
174.0,174,12.529257
207.0,207,12.577648
306.0,306,16.092861
306.0,306,16.165189
310.0,310,16.238643
225.0,225,16.292003
208.0,208,16.340286
258.0,258,16.401143
268.0,268,16.462264
209.0,209,16.511187
318.0,318,20.023225
404.0,404,20.117136
242.0,242,20.174134
271.0,271,20.23778
500.0,500,20.356158
500.0,500,23.850721
487.0,487,23.955791
464.0,464,24.061217
420.0,420,24.157478
500.0,500,27.66027
500.0,500,27.776126
393.0,393,27.866877
500.0,500,27.982449
500.0,500,28.097905
500.0,500,31.587248
500.0,500,31.697383
500.0,500,31.805913
500.0,500,31.913288
500.0,500,35.398186
500.0,500,35.514215
500.0,500,35.629195
500.0,500,35.743786
500.0,500,39.220535
500.0,500,39.336651
500.0,500,39.452582
500.0,500,39.569992
500.0,500,43.055933
500.0,500,43.171404
500.0,500,43.285189
500.0,500,43.400898
500.0,500,46.897979
500.0,500,47.013792
500.0,500,47.129823
500.0,500,47.245181
500.0,500,50.756377
500.0,500,50.872686
500.0,500,50.9887
500.0,500,51.104069
500.0,500,54.558053
500.0,500,54.676198
500.0,500,54.792987
500.0,500,54.909855
500.0,500,58.394378
500.0,500,58.511266
500.0,500,58.627968
500.0,500,58.743376
500.0,500,58.858996
500.0,500,62.363305
500.0,500,62.477611
500.0,500,62.59214
500.0,500,62.707971
500.0,500,66.20907
500.0,500,66.324563
500.0,500,66.439251
500.0,500,66.55494
500.0,500,70.036089
500.0,500,70.151966
500.0,500,70.270974
500.0,500,70.387738
500.0,500,73.865212
500.0,500,73.980491
500.0,500,74.094939
500.0,500,74.209931
500.0,500,77.70363
500.0,500,77.818885
500.0,500,77.934358
500.0,500,78.049467
