#{"t_start": 1759717273.366872, "env_id": "CartPole-v1"}
r,l,t
29.0,29,4.670582
18.0,18,4.674879
18.0,18,4.679188
35.0,35,4.687716
59.0,59,4.701652
27.0,27,4.708048
124.0,124,4.737956
85.0,85,4.757096
126.0,126,4.787318
79.0,79,4.808373
60.0,60,4.823984
37.0,37,4.833089
20.0,20,4.838029
124.0,124,8.235625
24.0,24,8.241167
18.0,18,8.245509
75.0,75,8.262877
74.0,74,8.279704
113.0,113,8.305766
85.0,85,8.325455
85.0,85,8.344438
29.0,29,8.351117
164.0,164,8.388646
21.0,21,8.39355
55.0,55,8.4063
60.0,60,8.420251
79.0,79,8.438222
24.0,24,8.444013
82.0,82,8.462721
140.0,140,8.494285
77.0,77,8.51208
86.0,86,8.532312
81.0,81,8.550822
142.0,142,8.58355
43.0,43,8.593705
48.0,48,8.604391
222.0,222,8.656707
204.0,204,12.12757
140.0,140,12.160155
212.0,212,12.210054
58.0,58,12.223309
186.0,186,12.268722
190.0,190,12.313956
109.0,109,12.340239
168.0,168,12.379449
199.0,199,12.425448
80.0,80,12.443722
181.0,181,12.485611
297.0,297,12.555426
190.0,190,16.042581
265.0,265,16.105669
231.0,231,16.16067
207.0,207,16.209908
222.0,222,16.260926
266.0,266,16.324318
232.0,232,16.378222
191.0,191,16.423615
317.0,317,16.496337
234.0,234,19.987847
335.0,335,20.066481
385.0,385,20.156254
229.0,229,20.210739
500.0,500,20.327346
209.0,209,20.37774
453.0,453,23.861273
343.0,343,23.934959
368.0,368,24.017058
500.0,500,24.131505
327.0,327,24.206185
500.0,500,27.709722
500.0,500,27.824858
500.0,500,27.94076
500.0,500,28.055767
500.0,500,31.548243
500.0,500,31.657735
500.0,500,31.767127
500.0,500,31.87491
500.0,500,35.355365
500.0,500,35.472355
500.0,500,35.587722
500.0,500,35.701828
500.0,500,39.178218
500.0,500,39.294279
500.0,500,39.409531
500.0,500,39.527392
500.0,500,43.013965
500.0,500,43.129917
500.0,500,43.243127
500.0,500,43.358855
500.0,500,43.473861
500.0,500,46.972093
500.0,500,47.087828
500.0,500,47.20354
500.0,500,47.319002
500.0,500,50.831062
500.0,500,50.946326
500.0,500,51.062568
500.0,500,51.178431
500.0,500,54.63298
500.0,500,54.750552
500.0,500,54.866977
500.0,500,54.983548
500.0,500,58.46883
500.0,500,58.586085
500.0,500,58.701693
500.0,500,58.81742
500.0,500,62.321327
500.0,500,62.436037
500.0,500,62.550899
500.0,500,62.665421
500.0,500,66.166632
500.0,500,66.282177
500.0,500,66.39826
500.0,500,66.512832
500.0,500,69.993465
500.0,500,70.110567
500.0,500,70.228043
500.0,500,70.345825
500.0,500,73.822722
500.0,500,73.938883
500.0,500,74.053838
500.0,500,74.167733
500.0,500,77.660332
500.0,500,77.777171
500.0,500,77.892097
500.0,500,78.007664
