#{"t_start": 1759717273.366872, "env_id": "CartPole-v1"}
r,l,t
21.0,21,0.41532
11.0,11,0.418229
30.0,30,0.425411
12.0,12,0.42828
12.0,12,0.431001
20.0,20,0.435725
10.0,10,0.438071
17.0,17,0.442682
19.0,19,0.44737
13.0,13,0.450839
11.0,11,0.453472
11.0,11,0.456285
25.0,25,0.462714
15.0,15,0.46674
27.0,27,0.473442
15.0,15,0.476867
15.0,15,0.480487
19.0,19,0.485326
19.0,19,0.490138
30.0,30,0.497413
13.0,13,0.500293
66.0,66,0.516189
15.0,15,0.519815
31.0,31,0.527389
11.0,11,0.530285
18.0,18,0.534738
17.0,17,0.538979
13.0,13,0.542236
35.0,35,0.550868
27.0,27,0.557652
17.0,17,0.561769
32.0,32,0.570018
10.0,10,0.572501
19.0,19,0.577201
28.0,28,0.583719
33.0,33,0.591975
14.0,14,0.595455
25.0,25,0.601392
27.0,27,0.608853
12.0,12,0.612366
53.0,53,0.625475
20.0,20,0.630272
14.0,14,0.633839
42.0,42,0.644307
17.0,17,0.648133
25.0,25,0.654139
22.0,22,0.659274
20.0,20,0.664352
38.0,38,0.673448
21.0,21,0.678731
11.0,11,0.681275
22.0,22,0.686609
26.0,26,0.693215
29.0,29,0.700264
24.0,24,0.706382
16.0,16,0.710086
19.0,19,0.71486
8.0,8,0.716669
19.0,19,0.721132
43.0,43,0.731107
20.0,20,0.736188
11.0,11,0.738886
9.0,9,0.740857
20.0,20,0.745926
16.0,16,0.749472
28.0,28,0.756461
15.0,15,0.760233
12.0,12,0.762979
29.0,29,0.770311
33.0,33,0.777405
29.0,29,0.784603
15.0,15,0.788077
26.0,26,0.794286
47.0,47,0.805914
18.0,18,0.809845
11.0,11,0.812768
12.0,12,0.815949
12.0,12,0.818739
16.0,16,0.822532
14.0,14,0.825995
24.0,24,0.832056
14.0,14,0.835173
29.0,29,0.842444
16.0,16,0.846172
21.0,21,0.850912
21.0,21,0.856345
24.0,24,0.862341
10.0,10,0.864753
11.0,11,0.867204
29.0,29,0.874677
20.0,20,0.879453
18.0,18,0.883528
17.0,17,0.887617
20.0,20,0.892377
13.0,13,0.895689
10.0,10,0.897918
15.0,15,0.901736
21.0,21,0.906856
30.0,30,4.349208
17.0,17,4.353361
37.0,37,4.362
49.0,49,4.37308
29.0,29,4.379693
14.0,14,4.382916
28.0,28,4.38937
50.0,50,4.400636
29.0,29,4.407493
39.0,39,4.417603
40.0,40,4.42749
55.0,55,4.441594
21.0,21,4.446605
47.0,47,4.457923
25.0,25,4.464054
14.0,14,4.467264
20.0,20,4.472469
30.0,30,4.479439
28.0,28,4.486531
29.0,29,4.493957
11.0,11,4.49702
19.0,19,4.501826
32.0,32,4.51011
58.0,58,4.524832
15.0,15,4.528556
32.0,32,4.536004
33.0,33,4.543694
33.0,33,4.551676
45.0,45,4.562498
16.0,16,4.566173
28.0,28,4.573047
34.0,34,4.581368
12.0,12,4.5844
30.0,30,4.591652
16.0,16,4.595685
50.0,50,4.60825
16.0,16,4.612009
27.0,27,4.618989
26.0,26,4.625466
85.0,85,4.645631
52.0,52,4.658446
21.0,21,4.663634
