#{"t_start": 1759717273.3664901, "env_id": "CartPole-v1"}
r,l,t
11.0,11,0.41314
17.0,17,0.417471
14.0,14,0.420866
10.0,10,0.42312
12.0,12,0.426235
28.0,28,0.432732
12.0,12,0.435646
20.0,20,0.4407
22.0,22,0.446067
23.0,23,0.452079
19.0,19,0.456961
23.0,23,0.462799
15.0,15,0.466856
16.0,16,0.47053
11.0,11,0.473493
20.0,20,0.478128
15.0,15,0.481985
8.0,8,0.483875
29.0,29,0.491159
17.0,17,0.495434
30.0,30,0.502284
19.0,19,0.507036
18.0,18,0.511318
14.0,14,0.514752
24.0,24,0.520418
16.0,16,0.52439
26.0,26,0.530894
14.0,14,0.534442
44.0,44,0.545317
11.0,11,0.548136
14.0,14,0.551487
26.0,26,0.558015
15.0,15,0.561578
25.0,25,0.567915
10.0,10,0.570689
25.0,25,0.57669
15.0,15,0.580465
10.0,10,0.582763
10.0,10,0.584954
39.0,39,0.594665
20.0,20,0.599481
23.0,23,0.605298
46.0,46,0.617666
16.0,16,0.621775
12.0,12,0.624939
27.0,27,0.631351
14.0,14,0.635036
17.0,17,0.638945
15.0,15,0.642928
13.0,13,0.646003
17.0,17,0.649976
18.0,18,0.654282
16.0,16,0.657877
41.0,41,0.667961
33.0,33,0.676012
14.0,14,0.679609
23.0,23,0.684941
13.0,13,0.68833
32.0,32,0.696383
11.0,11,0.699076
56.0,56,0.712756
23.0,23,0.718172
30.0,30,0.725047
15.0,15,0.728357
18.0,18,0.732853
14.0,14,0.736553
33.0,33,0.744482
36.0,36,0.753393
11.0,11,0.755998
37.0,37,0.764744
22.0,22,0.770366
39.0,39,0.778884
15.0,15,0.782567
24.0,24,0.788443
11.0,11,0.79084
23.0,23,0.796812
17.0,17,0.800645
11.0,11,0.803543
17.0,17,0.80761
19.0,19,0.812112
15.0,15,0.815971
16.0,16,0.819743
18.0,18,0.824166
13.0,13,0.827273
25.0,25,0.833582
19.0,19,0.838206
11.0,11,0.841012
17.0,17,0.844749
15.0,15,0.848321
21.0,21,0.853521
16.0,16,0.857446
31.0,31,0.865118
16.0,16,0.868954
19.0,19,0.873917
61.0,61,0.888244
20.0,20,0.892995
40.0,40,0.902963
16.0,16,0.906678
10.0,10,0.909653
12.0,12,4.346798
45.0,45,4.357996
26.0,26,4.363946
71.0,71,4.380046
21.0,21,4.384862
24.0,24,4.390456
26.0,26,4.396421
29.0,29,4.40285
20.0,20,4.40759
13.0,13,4.410779
45.0,45,4.422394
32.0,32,4.430632
18.0,18,4.435063
14.0,14,4.438664
39.0,39,4.44819
65.0,65,4.463888
27.0,27,4.470388
27.0,27,4.47694
9.0,9,4.478925
11.0,11,4.48206
28.0,28,4.488999
18.0,18,4.493637
16.0,16,4.498016
11.0,11,4.500867
51.0,51,4.513929
11.0,11,4.516568
17.0,17,4.52048
16.0,16,4.524981
12.0,12,4.527649
14.0,14,4.531508
22.0,22,4.53636
25.0,25,4.542355
26.0,26,4.548474
12.0,12,4.5513
33.0,33,4.559144
82.0,82,4.579364
12.0,12,4.581968
31.0,31,4.589319
28.0,28,4.596546
83.0,83,4.617473
33.0,33,4.6255
12.0,12,4.628331
109.0,109,4.654672
156.0,156,4.691987
