#{"t_start": 1759717273.3664901, "env_id": "CartPole-v1"}
r,l,t
19.0,19,4.696804
22.0,22,4.702003
28.0,28,4.7088
32.0,32,4.716556
17.0,17,4.720753
16.0,16,4.724169
32.0,32,4.731621
25.0,25,4.738117
18.0,18,4.741889
22.0,22,4.746998
26.0,26,4.752725
91.0,91,4.77344
45.0,45,4.784737
12.0,12,4.788344
23.0,23,4.79436
44.0,44,4.80614
30.0,30,4.814445
121.0,121,4.84379
57.0,57,8.226234
53.0,53,8.238136
26.0,26,8.24439
17.0,17,8.248276
38.0,38,8.257345
34.0,34,8.265192
121.0,121,8.292822
52.0,52,8.304648
54.0,54,8.317309
110.0,110,8.341994
29.0,29,8.348945
144.0,144,8.381528
122.0,122,8.409783
116.0,116,8.436485
37.0,37,8.44538
39.0,39,8.45417
43.0,43,8.463941
34.0,34,8.471703
85.0,85,8.49099
43.0,43,8.500811
138.0,138,8.532902
20.0,20,8.537338
16.0,16,8.541431
159.0,159,8.577566
63.0,63,8.592371
19.0,19,8.596971
111.0,111,8.622025
76.0,76,8.640552
103.0,103,8.664831
204.0,204,12.135202
278.0,278,12.200695
277.0,277,12.266534
268.0,268,12.330972
180.0,180,12.373872
234.0,234,12.427335
243.0,243,12.483234
191.0,191,12.528188
161.0,161,12.565964
52.0,52,12.57808
229.0,229,16.075689
209.0,209,16.124344
277.0,277,16.190892
186.0,186,16.234223
366.0,366,16.32081
218.0,218,16.370959
290.0,290,16.439484
263.0,263,16.499631
336.0,336,20.01552
365.0,365,20.100311
500.0,500,20.218406
380.0,380,20.306967
294.0,294,20.377067
412.0,412,23.851123
304.0,304,23.917014
444.0,444,24.012898
337.0,337,24.092563
365.0,365,24.176038
272.0,272,24.238668
500.0,500,27.741905
428.0,428,27.840696
500.0,500,27.956632
500.0,500,28.07236
500.0,500,31.563903
500.0,500,31.673353
500.0,500,31.781653
500.0,500,31.889079
500.0,500,35.372114
500.0,500,35.488685
500.0,500,35.603214
500.0,500,35.717664
500.0,500,39.194662
500.0,500,39.310364
500.0,500,39.425023
500.0,500,39.543801
500.0,500,43.030145
500.0,500,43.145891
500.0,500,43.259048
500.0,500,43.374588
500.0,500,46.871864
500.0,500,46.98803
500.0,500,47.103756
500.0,500,47.219517
500.0,500,47.335045
500.0,500,50.846772
500.0,500,50.962467
500.0,500,51.078547
500.0,500,51.194746
500.0,500,54.649171
500.0,500,54.7668
500.0,500,54.883277
500.0,500,54.999483
500.0,500,58.485093
500.0,500,58.602443
500.0,500,58.717704
500.0,500,58.83294
500.0,500,62.337675
500.0,500,62.452033
500.0,500,62.566291
500.0,500,62.682154
500.0,500,66.182825
500.0,500,66.297925
500.0,500,66.413816
500.0,500,66.528858
500.0,500,70.010186
500.0,500,70.126257
500.0,500,70.24422
500.0,500,70.361958
500.0,500,73.838799
500.0,500,73.954973
500.0,500,74.069369
500.0,500,74.183686
500.0,500,77.676374
500.0,500,77.793179
500.0,500,77.908214
500.0,500,78.02349
