#{"t_start": 1759717273.367056, "env_id": "CartPole-v1"}
r,l,t
56.0,56,0.423632
48.0,48,0.435105
23.0,23,0.441012
34.0,34,0.449783
24.0,24,0.455668
46.0,46,0.467508
12.0,12,0.470207
11.0,11,0.473271
32.0,32,0.480849
23.0,23,0.486717
16.0,16,0.490616
47.0,47,0.501741
38.0,38,0.511076
13.0,13,0.514207
22.0,22,0.519384
11.0,11,0.522099
11.0,11,0.52495
15.0,15,0.528639
24.0,24,0.534568
32.0,32,0.542512
12.0,12,0.545598
17.0,17,0.549809
23.0,23,0.555241
14.0,14,0.558782
12.0,12,0.561931
19.0,19,0.566597
26.0,26,0.573235
38.0,38,0.582465
20.0,20,0.587461
17.0,17,0.591552
36.0,36,0.60011
13.0,13,0.603318
15.0,15,0.607817
11.0,11,0.611041
9.0,9,0.613391
40.0,40,0.623275
25.0,25,0.62938
16.0,16,0.633426
22.0,22,0.638729
20.0,20,0.643858
9.0,9,0.645905
10.0,10,0.648186
21.0,21,0.653277
27.0,27,0.659558
17.0,17,0.663833
13.0,13,0.666961
17.0,17,0.670833
19.0,19,0.675716
22.0,22,0.681109
13.0,13,0.684152
22.0,22,0.690009
18.0,18,0.694307
18.0,18,0.69874
21.0,21,0.703878
21.0,21,0.708767
16.0,16,0.712858
16.0,16,0.716723
22.0,22,0.721852
16.0,16,0.725356
22.0,22,0.730692
14.0,14,0.734183
19.0,19,0.738935
33.0,33,0.746979
12.0,12,0.749541
18.0,18,0.75434
11.0,11,0.756726
16.0,16,0.760822
14.0,14,0.763952
18.0,18,0.768338
17.0,17,0.772475
10.0,10,0.774582
20.0,20,0.779022
43.0,43,0.789414
20.0,20,0.794377
17.0,17,0.798402
23.0,23,0.804183
18.0,18,0.808347
22.0,22,0.813808
9.0,9,0.816286
17.0,17,0.820099
17.0,17,0.824375
14.0,14,0.827596
17.0,17,0.83214
19.0,19,0.836628
43.0,43,0.846906
10.0,10,0.849233
13.0,13,0.852449
21.0,21,0.857621
18.0,18,0.862178
42.0,42,0.872618
25.0,25,0.878621
32.0,32,0.886092
11.0,11,0.888649
13.0,13,0.891726
22.0,22,0.897059
58.0,58,4.345893
22.0,22,4.351655
30.0,30,4.358851
14.0,14,4.362055
12.0,12,4.364723
30.0,30,4.37161
22.0,22,4.37659
28.0,28,4.382986
110.0,110,4.408455
30.0,30,4.416055
48.0,48,4.428155
73.0,73,4.446444
13.0,13,4.449594
53.0,53,4.462321
34.0,34,4.470691
13.0,13,4.473975
28.0,28,4.480803
35.0,35,4.489528
47.0,47,4.501655
16.0,16,4.50603
31.0,31,4.513832
22.0,22,4.518916
16.0,16,4.523471
89.0,89,4.544474
62.0,62,4.559281
57.0,57,4.573099
60.0,60,4.58768
79.0,79,4.607577
47.0,47,4.619312
34.0,34,4.627523
23.0,23,4.6333
57.0,57,4.646952
59.0,59,4.661218
19.0,19,4.665994
66.0,66,4.681802
110.0,110,4.70791
20.0,20,4.713199
13.0,13,4.716011
40.0,40,4.725461
22.0,22,4.730414
26.0,26,4.737148
54.0,54,4.749337
17.0,17,4.752848
38.0,38,4.761585
57.0,57,4.774844
43.0,43,4.785328
39.0,39,4.796468
31.0,31,4.804516
36.0,36,4.814429
63.0,63,4.830058
26.0,26,4.836448
150.0,150,8.239701
116.0,116,8.267487
79.0,79,8.285125
124.0,124,8.313672
39.0,39,8.322861
79.0,79,8.340389
59.0,59,8.35418
112.0,112,8.379486
24.0,24,8.385076
34.0,34,8.392869
98.0,98,8.415571
26.0,26,8.421678
51.0,51,8.432956
139.0,139,8.465085
18.0,18,8.469395
48.0,48,8.480367
125.0,125,8.50875
36.0,36,8.517043
31.0,31,8.524545
66.0,66,8.539843
31.0,31,8.54692
32.0,32,8.554165
59.0,59,8.567541
180.0,180,8.609251
234.0,234,8.664497
68.0,68,8.680358
89.0,89,12.123966
340.0,340,12.203606
122.0,122,12.232029
71.0,71,12.248765
167.0,167,12.289698
35.0,35,12.297881
81.0,81,12.31769
117.0,117,12.345643
204.0,204,12.392968
172.0,172,12.432798
107.0,107,12.457278
279.0,279,12.522254
113.0,113,12.549305
111.0,111,12.574959
155.0,155,16.054782
217.0,217,16.105957
313.0,313,16.180382
173.0,173,16.221181
231.0,231,16.275223
264.0,264,16.337449
355.0,355,16.420906
212.0,212,16.469009
219.0,219,19.956577
272.0,272,20.021038
350.0,350,20.102347
259.0,259,20.163206
293.0,293,20.232415
307.0,307,20.30408
297.0,297,20.374871
266.0,266,23.814486
451.0,451,23.914885
389.0,389,23.998628
317.0,317,24.073169
471.0,471,24.181342
341.0,341,24.259812
500.0,500,27.763448
500.0,500,27.878354
500.0,500,27.994155
500.0,500,28.10992
500.0,500,31.599407
500.0,500,31.709209
500.0,500,31.817216
500.0,500,31.924987
500.0,500,35.4099
500.0,500,35.526277
500.0,500,35.641124
500.0,500,35.755749
500.0,500,39.232776
500.0,500,39.348305
500.0,500,39.46493
500.0,500,39.582174
500.0,500,43.068137
500.0,500,43.183337
500.0,500,43.296944
500.0,500,43.412523
500.0,500,46.909509
500.0,500,47.025691
500.0,500,47.141226
500.0,500,47.257131
500.0,500,50.768701
500.0,500,50.884725
500.0,500,51.000567
500.0,500,51.116242
500.0,500,54.570267
500.0,500,54.68771
500.0,500,54.804803
500.0,500,54.921311
500.0,500,58.406951
500.0,500,58.523317
500.0,500,58.63973
500.0,500,58.75531
500.0,500,62.258237
500.0,500,62.374378
500.0,500,62.489266
500.0,500,62.603629
500.0,500,62.719609
500.0,500,66.221491
500.0,500,66.336285
500.0,500,66.451055
500.0,500,66.566447
500.0,500,70.048497
500.0,500,70.163374
500.0,500,70.283282
500.0,500,70.39941
500.0,500,73.87738
500.0,500,73.991779
500.0,500,74.107008
500.0,500,74.22139
500.0,500,77.715066
500.0,500,77.830831
500.0,500,77.946011
500.0,500,78.061529
