#{"t_start": 1759717273.366103, "env_id": "CartPole-v1"}
r,l,t
28.0,28,0.4178
17.0,17,0.421919
19.0,19,0.42659
15.0,15,0.430166
13.0,13,0.4331
18.0,18,0.437457
18.0,18,0.442268
32.0,32,0.450464
22.0,22,0.45591
12.0,12,0.459005
17.0,17,0.463165
11.0,11,0.466131
22.0,22,0.471372
10.0,10,0.474175
31.0,31,0.481522
39.0,39,0.491313
44.0,44,0.501729
24.0,24,0.50765
38.0,38,0.516714
15.0,15,0.520287
19.0,19,0.52501
17.0,17,0.529279
14.0,14,0.532752
26.0,26,0.539214
15.0,15,0.542978
13.0,13,0.54629
19.0,19,0.550966
16.0,16,0.554785
13.0,13,0.558151
49.0,49,0.570436
35.0,35,0.579184
17.0,17,0.583133
27.0,27,0.589897
32.0,32,0.597511
41.0,41,0.608098
23.0,23,0.61456
41.0,41,0.624782
45.0,45,0.63588
32.0,32,0.643835
14.0,14,0.647072
31.0,31,0.654435
18.0,18,0.658598
41.0,41,0.668565
13.0,13,0.671412
21.0,21,0.676877
14.0,14,0.68045
15.0,15,0.683922
12.0,12,0.686716
17.0,17,0.691459
24.0,24,0.697337
53.0,53,0.709928
14.0,14,0.713561
30.0,30,0.720746
14.0,14,0.723896
14.0,14,0.726978
27.0,27,0.733453
12.0,12,0.736601
10.0,10,0.739179
34.0,34,0.747454
37.0,37,0.756366
33.0,33,0.764165
28.0,28,0.771319
27.0,27,0.777108
13.0,13,0.779943
36.0,36,0.788809
45.0,45,0.799553
30.0,30,0.807134
23.0,23,0.812478
14.0,14,0.816093
17.0,17,0.820109
29.0,29,0.827193
25.0,25,0.833513
11.0,11,0.835917
15.0,15,0.83996
75.0,75,0.857811
31.0,31,0.865486
34.0,34,0.87405
14.0,14,0.877192
13.0,13,0.880425
12.0,12,0.883176
23.0,23,0.888603
24.0,24,0.894358
18.0,18,0.898663
39.0,39,0.90845
17.0,17,4.347145
64.0,64,4.362738
41.0,41,4.37209
81.0,81,4.390611
19.0,19,4.39498
67.0,67,4.41052
23.0,23,4.416488
28.0,28,4.423567
23.0,23,4.429319
36.0,36,4.438452
18.0,18,4.443018
93.0,93,4.465516
53.0,53,4.478152
41.0,41,4.488608
16.0,16,4.492923
43.0,43,4.50378
45.0,45,4.515424
68.0,68,4.53261
97.0,97,4.555294
33.0,33,4.563231
32.0,32,4.570955
13.0,13,4.57402
23.0,23,4.579967
48.0,48,4.591274
38.0,38,4.60086
55.0,55,4.614492
20.0,20,4.61973
26.0,26,4.626175
30.0,30,4.633449
22.0,22,4.638583
33.0,33,4.646364
57.0,57,4.660284
26.0,26,4.666917
50.0,50,4.678793
25.0,25,4.68477
35.0,35,4.692783
11.0,11,4.69578
25.0,25,4.701676
46.0,46,4.713153
21.0,21,4.718028
32.0,32,4.725471
24.0,24,4.730894
82.0,82,4.750259
13.0,13,4.752893
33.0,33,4.760578
12.0,12,4.763153
20.0,20,4.767351
29.0,29,4.774404
49.0,49,4.78662
42.0,42,4.798499
21.0,21,4.803922
45.0,45,4.816167
66.0,66,4.832475
14.0,14,4.835602
27.0,27,4.842202
377.0,377,8.298158
98.0,98,8.321069
126.0,126,8.349551
46.0,46,8.360168
78.0,78,8.377623
50.0,50,8.389174
122.0,122,8.417326
159.0,159,8.453931
171.0,171,8.492926
132.0,132,8.523514
21.0,21,8.528285
46.0,46,8.539213
24.0,24,8.544486
40.0,40,8.553706
82.0,82,8.572494
133.0,133,8.603132
41.0,41,8.612726
187.0,187,8.6568
159.0,159,12.116864
208.0,208,12.165072
132.0,132,12.196428
145.0,145,12.230237
26.0,26,12.236321
169.0,169,12.278131
122.0,122,12.307024
184.0,184,12.351294
376.0,376,12.43782
191.0,191,12.482119
197.0,197,12.528321
103.0,103,12.552754
205.0,205,16.043269
163.0,163,16.0825
173.0,173,16.12268
212.0,212,16.173293
223.0,223,16.226345
198.0,198,16.272744
313.0,313,16.346044
268.0,268,16.409302
180.0,180,16.450689
199.0,199,16.496529
231.0,231,19.987507
382.0,382,20.077059
500.0,500,20.194497
260.0,260,20.254749
285.0,285,20.321899
407.0,407,20.419043
369.0,369,23.880912
500.0,500,23.987301
392.0,392,24.078799
446.0,446,24.180882
286.0,286,24.247014
500.0,500,27.75027
500.0,500,27.86562
500.0,500,27.981542
500.0,500,28.096723
500.0,500,31.586436
500.0,500,31.696579
500.0,500,31.804592
500.0,500,31.912055
500.0,500,35.397043
500.0,500,35.513278
500.0,500,35.628028
500.0,500,35.742704
500.0,500,39.219179
500.0,500,39.33574
500.0,500,39.451221
500.0,500,39.568516
500.0,500,43.054546
500.0,500,43.170239
500.0,500,43.283853
500.0,500,43.399377
500.0,500,46.896827
500.0,500,47.012601
500.0,500,47.128476
500.0,500,47.243554
500.0,500,50.75533
500.0,500,50.871314
500.0,500,50.987504
500.0,500,51.103155
500.0,500,54.556891
500.0,500,54.67496
500.0,500,54.791889
500.0,500,54.908435
500.0,500,58.393101
500.0,500,58.510043
500.0,500,58.627059
500.0,500,58.742267
500.0,500,58.857905
500.0,500,62.361833
500.0,500,62.476499
500.0,500,62.590889
500.0,500,62.706848
500.0,500,66.207766
500.0,500,66.323308
500.0,500,66.43813
500.0,500,66.553849
500.0,500,70.034992
500.0,500,70.150938
500.0,500,70.269565
500.0,500,70.386594
500.0,500,73.864303
500.0,500,73.979426
500.0,500,74.09409
500.0,500,74.208831
500.0,500,77.702256
500.0,500,77.817751
500.0,500,77.932888
500.0,500,78.048625
