#{"t_start": 1759717273.366685, "env_id": "CartPole-v1"}
r,l,t
29.0,29,4.376659
26.0,26,4.382625
28.0,28,4.389077
25.0,25,4.394836
37.0,37,4.403099
11.0,11,4.40571
22.0,22,4.411077
49.0,49,4.42377
22.0,22,4.429284
35.0,35,4.438213
17.0,17,4.442466
82.0,82,4.462258
30.0,30,4.469455
49.0,49,4.481622
19.0,19,4.48621
22.0,22,4.492094
54.0,54,4.506049
46.0,46,4.517467
26.0,26,4.524305
13.0,13,4.527217
20.0,20,4.532492
29.0,29,4.539386
89.0,89,4.560358
134.0,134,4.592961
15.0,15,4.596594
20.0,20,4.601606
15.0,15,4.605179
14.0,14,4.608926
12.0,12,4.611763
17.0,17,4.616177
15.0,15,4.619902
34.0,34,4.628152
66.0,66,4.643839
37.0,37,4.652761
53.0,53,4.666135
65.0,65,4.681658
18.0,18,4.685866
46.0,46,4.696849
89.0,89,4.718475
57.0,57,4.731446
72.0,72,4.748588
58.0,58,4.761525
16.0,16,4.764854
14.0,14,4.767837
20.0,20,4.772806
49.0,49,4.785027
29.0,29,4.793128
20.0,20,4.798714
20.0,20,4.803991
38.0,38,4.814285
30.0,30,4.821781
63.0,63,4.837339
52.0,52,8.217494
63.0,63,8.232824
48.0,48,8.243937
97.0,97,8.266909
159.0,159,8.302706
110.0,110,8.328639
46.0,46,8.33858
182.0,182,8.380056
26.0,26,8.386175
22.0,22,8.390904
79.0,79,8.409364
146.0,146,8.443269
35.0,35,8.451206
53.0,53,8.463332
84.0,84,8.482624
18.0,18,8.486642
59.0,59,8.499754
90.0,90,8.52059
59.0,59,8.534538
135.0,135,8.565614
97.0,97,8.588339
25.0,25,8.593874
62.0,62,8.60787
53.0,53,8.619571
50.0,50,8.632168
126.0,126,8.66197
56.0,56,8.674892
59.0,59,12.111457
120.0,120,12.139776
43.0,43,12.149777
115.0,115,12.176205
218.0,218,12.227485
184.0,184,12.272955
274.0,274,12.338173
126.0,126,12.368307
17.0,17,12.372134
69.0,69,12.387683
105.0,105,12.411951
122.0,122,12.440223
98.0,98,12.462629
114.0,114,12.48915
189.0,189,12.533739
24.0,24,12.539269
158.0,158,12.576094
26.0,26,12.582273
100.0,100,16.048736
236.0,236,16.104752
189.0,189,16.149921
236.0,236,16.205747
417.0,417,16.304028
175.0,175,16.344294
205.0,205,16.392702
309.0,309,16.463483
336.0,336,19.97932
372.0,372,20.066388
259.0,259,20.126756
241.0,241,20.183441
344.0,344,20.263904
276.0,276,20.328694
293.0,293,20.398714
482.0,482,23.886501
500.0,500,23.993546
426.0,426,24.093338
500.0,500,24.207645
500.0,500,27.711234
500.0,500,27.826449
500.0,500,27.94237
500.0,500,28.057564
500.0,500,31.549729
500.0,500,31.65915
500.0,500,31.768605
500.0,500,31.876314
500.0,500,35.357072
500.0,500,35.473996
500.0,500,35.589229
500.0,500,35.703501
500.0,500,39.179786
500.0,500,39.296005
500.0,500,39.411097
500.0,500,39.529329
500.0,500,43.015567
500.0,500,43.131789
500.0,500,43.244778
500.0,500,43.360365
500.0,500,43.475533
500.0,500,46.973622
500.0,500,47.089543
500.0,500,47.205192
500.0,500,47.320479
500.0,500,50.832562
500.0,500,50.9478
500.0,500,51.064089
500.0,500,51.180159
500.0,500,54.634792
500.0,500,54.752213
500.0,500,54.868451
500.0,500,54.985206
500.0,500,58.470335
500.0,500,58.587722
500.0,500,58.703402
500.0,500,58.818926
500.0,500,62.32312
500.0,500,62.437726
500.0,500,62.552593
500.0,500,62.666866
500.0,500,66.168294
500.0,500,66.283671
500.0,500,66.399757
500.0,500,66.514457
500.0,500,69.995087
500.0,500,70.112292
500.0,500,70.229879
500.0,500,70.347364
500.0,500,73.824283
500.0,500,73.940763
500.0,500,74.055525
500.0,500,74.16933
500.0,500,77.662086
500.0,500,77.778646
500.0,500,77.894066
500.0,500,78.009303
