#{"t_start": 1759717273.366685, "env_id": "CartPole-v1"}
r,l,t
13.0,13,0.413576
22.0,22,0.419098
15.0,15,0.422471
25.0,25,0.428699
41.0,41,0.438246
43.0,43,0.449593
31.0,31,0.457369
16.0,16,0.46124
12.0,12,0.464482
11.0,11,0.4674
10.0,10,0.469667
14.0,14,0.47332
23.0,23,0.478612
22.0,22,0.484142
13.0,13,0.48756
22.0,22,0.492824
43.0,43,0.503279
35.0,35,0.511703
11.0,11,0.51433
42.0,42,0.524466
17.0,17,0.528731
18.0,18,0.533194
12.0,12,0.536054
22.0,22,0.54166
22.0,22,0.54719
11.0,11,0.549945
24.0,24,0.55558
12.0,12,0.558703
13.0,13,0.561912
13.0,13,0.565419
24.0,24,0.571456
11.0,11,0.574069
21.0,21,0.579297
35.0,35,0.587791
25.0,25,0.5938
13.0,13,0.596951
42.0,42,0.607848
20.0,20,0.613505
30.0,30,0.620873
44.0,44,0.631867
28.0,28,0.638515
23.0,23,0.644477
9.0,9,0.646519
30.0,30,0.653629
26.0,26,0.659674
14.0,14,0.662952
58.0,58,0.6772
12.0,12,0.68035
13.0,13,0.683365
17.0,17,0.687557
9.0,9,0.690084
26.0,26,0.696522
26.0,26,0.702709
33.0,33,0.710901
23.0,23,0.716403
11.0,11,0.718883
15.0,15,0.722436
16.0,16,0.72595
23.0,23,0.731531
18.0,18,0.736062
12.0,12,0.739061
22.0,22,0.744308
33.0,33,0.752355
11.0,11,0.755157
36.0,36,0.76361
18.0,18,0.767876
15.0,15,0.771816
33.0,33,0.778952
17.0,17,0.783226
17.0,17,0.78731
24.0,24,0.793025
12.0,12,0.79616
15.0,15,0.79945
23.0,23,0.805275
15.0,15,0.8087
29.0,29,0.816101
40.0,40,0.825761
16.0,16,0.829304
26.0,26,0.835917
15.0,15,0.839838
21.0,21,0.844571
10.0,10,0.847041
17.0,17,0.85088
26.0,26,0.857539
15.0,15,0.861122
34.0,34,0.869511
12.0,12,0.872725
13.0,13,0.875761
26.0,26,0.881956
19.0,19,0.88644
11.0,11,0.888996
12.0,12,0.891733
43.0,43,0.902499
14.0,14,0.905816
19.0,19,0.911071
43.0,43,4.355902
32.0,32,4.36331
30.0,30,4.370214
