#{"t_start": 1759717273.367414, "env_id": "CartPole-v1"}
r,l,t
25.0,25,0.90553
20.0,20,0.911102
70.0,70,4.362153
30.0,30,4.369014
52.0,52,4.380801
140.0,140,4.413568
55.0,55,4.427569
40.0,40,4.437775
23.0,23,4.443233
11.0,11,4.446106
20.0,20,4.45076
35.0,35,4.45918
40.0,40,4.469009
41.0,41,4.478974
33.0,33,4.487353
29.0,29,4.494674
13.0,13,4.498416
75.0,75,4.517204
25.0,25,4.523833
59.0,59,4.538211
44.0,44,4.548226
60.0,60,4.562622
16.0,16,4.566394
15.0,15,4.570217
31.0,31,4.577911
32.0,32,4.585619
74.0,74,4.603803
20.0,20,4.608992
27.0,27,4.615768
12.0,12,4.61872
25.0,25,4.624955
56.0,56,4.638287
25.0,25,4.644051
14.0,14,4.64781
65.0,65,4.663674
33.0,33,4.671541
23.0,23,4.676936
11.0,11,4.679587
27.0,27,4.686209
37.0,37,4.694959
60.0,60,4.70957
21.0,21,4.714535
10.0,10,4.716995
16.0,16,4.720855
12.0,12,4.72328
27.0,27,4.729625
19.0,19,4.734678
62.0,62,4.748758
60.0,60,4.762095
11.0,11,4.764373
43.0,43,4.77475
65.0,65,4.791715
42.0,42,4.803019
25.0,25,4.809308
63.0,63,4.825403
41.0,41,4.835866
27.0,27,4.84201
18.0,18,8.214505
75.0,75,8.232553
142.0,142,8.265971
20.0,20,8.270373
208.0,208,8.317875
14.0,14,8.321397
124.0,124,8.349312
125.0,125,8.377745
30.0,30,8.384765
113.0,113,8.410955
89.0,89,8.431141
100.0,100,8.454489
124.0,124,8.48284
42.0,42,8.492062
31.0,31,8.499068
103.0,103,8.523264
58.0,58,8.536477
111.0,111,8.562199
98.0,98,8.584861
149.0,149,8.618221
42.0,42,8.629019
84.0,84,8.648994
21.0,21,8.653941
187.0,187,12.12064
23.0,23,12.126153
65.0,65,12.141203
25.0,25,12.146935
26.0,26,12.153295
275.0,275,12.217503
181.0,181,12.260977
116.0,116,12.288864
123.0,123,12.318507
195.0,195,12.36532
53.0,53,12.377251
173.0,173,12.417105
402.0,402,12.510494
56.0,56,12.522952
146.0,146,12.557617
265.0,265,16.063108
217.0,217,16.114151
201.0,201,16.162049
202.0,202,16.21026
204.0,204,16.257399
174.0,174,16.299028
211.0,211,16.34819
253.0,253,16.407798
268.0,268,16.469168
399.0,399,19.999506
284.0,284,20.066004
349.0,349,20.147216
338.0,338,20.22697
282.0,282,20.292813
211.0,211,20.343317
222.0,222,20.395763
288.0,288,23.840605
274.0,274,23.901004
434.0,434,23.99398
396.0,396,24.086574
500.0,500,24.201001
500.0,500,27.70441
500.0,500,27.819673
499.0,499,27.935057
500.0,500,28.050459
500.0,500,31.542951
500.0,500,31.652223
500.0,500,31.761483
500.0,500,31.870231
500.0,500,35.349912
500.0,500,35.466753
500.0,500,35.582808
500.0,500,35.696517
500.0,500,39.172555
500.0,500,39.288615
500.0,500,39.404329
500.0,500,39.522177
500.0,500,39.638156
500.0,500,43.124344
500.0,500,43.237758
500.0,500,43.353341
500.0,500,43.468242
500.0,500,46.966575
500.0,500,47.082293
500.0,500,47.198149
500.0,500,47.313366
500.0,500,50.825848
500.0,500,50.941035
500.0,500,51.057014
500.0,500,51.172836
500.0,500,54.627688
500.0,500,54.745071
500.0,500,54.861348
500.0,500,54.9778
500.0,500,58.463486
500.0,500,58.58029
500.0,500,58.696611
500.0,500,58.811976
500.0,500,62.316032
500.0,500,62.430482
500.0,500,62.545718
500.0,500,62.660186
500.0,500,66.161088
500.0,500,66.277112
500.0,500,66.392761
500.0,500,66.507298
500.0,500,69.988501
500.0,500,70.105322
500.0,500,70.222792
500.0,500,70.340208
500.0,500,73.816883
500.0,500,73.933417
500.0,500,74.048655
500.0,500,74.162211
500.0,500,77.655044
500.0,500,77.771913
500.0,500,77.887102
500.0,500,78.001899
