#{"t_start": 1759717273.367414, "env_id": "CartPole-v1"}
r,l,t
13.0,13,0.412912
23.0,23,0.418626
21.0,21,0.42355
27.0,27,0.429986
40.0,40,0.439824
17.0,17,0.443984
17.0,17,0.44859
13.0,13,0.451675
10.0,10,0.454398
12.0,12,0.457423
32.0,32,0.465643
61.0,61,0.480512
35.0,35,0.48937
16.0,16,0.492989
10.0,10,0.495736
18.0,18,0.499775
27.0,27,0.50638
20.0,20,0.511246
12.0,12,0.514088
37.0,37,0.522995
24.0,24,0.529053
39.0,39,0.538714
24.0,24,0.544754
12.0,12,0.547779
14.0,14,0.551027
19.0,19,0.555731
15.0,15,0.559311
15.0,15,0.563483
11.0,11,0.566012
57.0,57,0.580261
31.0,31,0.587978
11.0,11,0.590342
13.0,13,0.593527
19.0,19,0.597876
24.0,24,0.604095
16.0,16,0.608875
22.0,22,0.614636
17.0,17,0.618836
15.0,15,0.622535
16.0,16,0.626794
14.0,14,0.629979
14.0,14,0.633551
16.0,16,0.637339
15.0,15,0.641238
19.0,19,0.645814
72.0,72,0.662892
21.0,21,0.667925
15.0,15,0.671561
16.0,16,0.675604
14.0,14,0.679175
12.0,12,0.682005
27.0,27,0.688855
12.0,12,0.691806
23.0,23,0.697501
16.0,16,0.701143
16.0,16,0.705417
17.0,17,0.709171
23.0,23,0.715032
45.0,45,0.725251
24.0,24,0.731063
31.0,31,0.738822
13.0,13,0.74201
18.0,18,0.746389
16.0,16,0.749982
45.0,45,0.761159
16.0,16,0.764721
16.0,16,0.768846
17.0,17,0.772771
29.0,29,0.779103
41.0,41,0.789076
18.0,18,0.793477
40.0,40,0.803375
24.0,24,0.808853
18.0,18,0.813478
10.0,10,0.816181
14.0,14,0.81925
16.0,16,0.823273
18.0,18,0.82748
13.0,13,0.830901
30.0,30,0.838421
72.0,72,0.855565
18.0,18,0.859907
28.0,28,0.866682
17.0,17,0.871223
49.0,49,0.882781
13.0,13,0.885983
15.0,15,0.889399
24.0,24,0.895399
17.0,17,0.899487
