#{"t_start": 1759717273.365321, "env_id": "CartPole-v1"}
r,l,t
17.0,17,0.866959
10.0,10,0.86914
18.0,18,0.874037
18.0,18,0.878282
16.0,16,0.882096
20.0,20,0.88678
16.0,16,0.89058
13.0,13,0.893675
35.0,35,0.902355
10.0,10,0.904861
13.0,13,0.907816
19.0,19,0.913135
13.0,13,4.350688
14.0,14,4.354145
18.0,18,4.358441
64.0,64,4.373086
14.0,14,4.37619
45.0,45,4.386477
23.0,23,4.391833
93.0,93,4.413323
19.0,19,4.418636
72.0,72,4.436644
50.0,50,4.449095
63.0,63,4.464249
12.0,12,4.467201
20.0,20,4.472026
16.0,16,4.476109
30.0,30,4.483451
15.0,15,4.487089
29.0,29,4.494534
56.0,56,4.509334
108.0,108,4.535979
63.0,63,4.550711
21.0,21,4.555779
24.0,24,4.561658
43.0,43,4.571992
15.0,15,4.575481
18.0,18,4.580222
107.0,107,4.606286
48.0,48,4.618589
82.0,82,4.638201
21.0,21,4.643453
15.0,15,4.646758
24.0,24,4.652813
45.0,45,4.663913
79.0,79,4.682965
20.0,20,4.687768
70.0,70,4.704463
54.0,54,4.717454
20.0,20,4.722465
47.0,47,4.733009
38.0,38,4.742172
70.0,70,4.75808
51.0,51,4.769159
33.0,33,4.777462
37.0,37,4.786584
21.0,21,4.792713
21.0,21,4.798457
14.0,14,4.802026
49.0,49,4.815273
19.0,19,4.819867
10.0,10,4.822458
33.0,33,4.830669
12.0,12,4.833696
27.0,27,4.840254
19.0,19,4.844487
146.0,146,8.247494
68.0,68,8.26337
78.0,78,8.281006
10.0,10,8.283511
30.0,30,8.289999
40.0,40,8.299372
44.0,44,8.309637
34.0,34,8.317494
16.0,16,8.321224
99.0,99,8.343363
39.0,39,8.352411
88.0,88,8.372349
139.0,139,8.404427
158.0,158,8.440952
43.0,43,8.451082
60.0,60,8.464661
142.0,142,8.496654
10.0,10,8.498827
143.0,143,8.532487
34.0,34,8.540433
158.0,158,8.576253
92.0,92,8.598098
36.0,36,8.605895
54.0,54,8.617908
134.0,134,8.650333
29.0,29,8.657108
73.0,73,8.674088
210.0,210,12.146374
138.0,138,12.178127
139.0,139,12.21135
166.0,166,12.249922
151.0,151,12.287193
124.0,124,12.317004
86.0,86,12.337498
162.0,162,12.376207
45.0,45,12.385925
36.0,36,12.394227
96.0,96,12.416706
152.0,152,12.451276
168.0,168,12.490477
33.0,33,12.498482
157.0,157,12.535305
80.0,80,12.55397
16.0,16,12.557608
403.0,403,16.095419
176.0,176,16.137262
354.0,354,16.22129
195.0,195,16.266963
232.0,232,16.321927
241.0,241,16.37777
207.0,207,16.426604
212.0,212,16.475116
325.0,325,19.987819
500.0,500,20.104617
305.0,305,20.176339
433.0,433,20.277926
337.0,337,20.358112
346.0,346,23.816466
278.0,278,23.880475
444.0,444,23.975077
361.0,361,24.05786
500.0,500,24.172787
500.0,500,27.676187
500.0,500,27.791509
500.0,500,27.906357
500.0,500,28.02244
500.0,500,31.514652
500.0,500,31.624219
500.0,500,31.735189
500.0,500,31.844092
500.0,500,31.951282
500.0,500,35.438479
500.0,500,35.555104
500.0,500,35.669013
500.0,500,35.783899
500.0,500,39.261329
500.0,500,39.376532
500.0,500,39.49402
500.0,500,39.610499
500.0,500,43.096408
500.0,500,43.211271
500.0,500,43.325389
500.0,500,43.440448
500.0,500,46.937971
500.0,500,47.05391
500.0,500,47.169898
500.0,500,47.285598
500.0,500,50.797346
500.0,500,50.91287
500.0,500,51.029118
500.0,500,51.144566
500.0,500,54.599452
500.0,500,54.71624
500.0,500,54.833964
500.0,500,54.949904
500.0,500,58.435387
500.0,500,58.55165
500.0,500,58.668178
500.0,500,58.784077
500.0,500,62.287005
500.0,500,62.402627
500.0,500,62.517474
500.0,500,62.631959
500.0,500,66.132698
500.0,500,66.25008
500.0,500,66.364789
500.0,500,66.479326
500.0,500,69.959583
500.0,500,70.077072
500.0,500,70.192456
500.0,500,70.311738
500.0,500,70.427433
500.0,500,73.905232
500.0,500,74.020248
500.0,500,74.135022
500.0,500,74.249314
500.0,500,77.743806
500.0,500,77.859253
500.0,500,77.974181
500.0,500,78.089852
