#{"t_start": 1759717273.365321, "env_id": "CartPole-v1"}
r,l,t
10.0,10,0.413918
47.0,47,0.425588
15.0,15,0.429312
14.0,14,0.432499
30.0,30,0.439571
12.0,12,0.443016
13.0,13,0.446002
16.0,16,0.450321
35.0,35,0.459221
55.0,55,0.47304
19.0,19,0.477719
11.0,11,0.480181
11.0,11,0.483095
9.0,9,0.485255
31.0,31,0.493033
10.0,10,0.49526
29.0,29,0.502266
17.0,17,0.506487
28.0,28,0.513278
12.0,12,0.516128
25.0,25,0.522029
14.0,14,0.525526
17.0,17,0.529682
19.0,19,0.534474
12.0,12,0.537368
24.0,24,0.543491
48.0,48,0.555196
13.0,13,0.558655
11.0,11,0.561139
10.0,10,0.563936
35.0,35,0.572783
17.0,17,0.57669
43.0,43,0.587264
29.0,29,0.594483
16.0,16,0.598268
14.0,14,0.601522
12.0,12,0.604499
14.0,14,0.608523
14.0,14,0.6127
13.0,13,0.616021
15.0,15,0.619666
15.0,15,0.623382
20.0,20,0.628591
17.0,17,0.632487
17.0,17,0.636876
50.0,50,0.648976
10.0,10,0.651478
12.0,12,0.654319
12.0,12,0.656981
21.0,21,0.661925
16.0,16,0.666178
12.0,12,0.668888
26.0,26,0.675268
21.0,21,0.680515
72.0,72,0.698323
36.0,36,0.707215
20.0,20,0.711907
20.0,20,0.716846
11.0,11,0.719297
30.0,30,0.726184
16.0,16,0.729728
20.0,20,0.734635
15.0,15,0.738684
18.0,18,0.743026
15.0,15,0.74672
13.0,13,0.74974
15.0,15,0.75344
13.0,13,0.756713
28.0,28,0.763439
14.0,14,0.766541
12.0,12,0.769524
22.0,22,0.77481
14.0,14,0.777865
14.0,14,0.780938
12.0,12,0.784004
9.0,9,0.786371
11.0,11,0.788884
10.0,10,0.7911
25.0,25,0.797482
17.0,17,0.801229
15.0,15,0.80513
12.0,12,0.808122
12.0,12,0.810681
31.0,31,0.818663
25.0,25,0.824505
50.0,50,0.836675
23.0,23,0.842631
38.0,38,0.851346
16.0,16,0.855434
13.0,13,0.858553
17.0,17,0.862785
