#{"t_start": 1759717273.365888, "env_id": "CartPole-v1"}
r,l,t
12.0,12,0.414041
14.0,14,0.417419
25.0,25,0.423482
33.0,33,0.431457
18.0,18,0.435796
41.0,41,0.445942
31.0,31,0.45398
19.0,19,0.458899
37.0,37,0.468426
29.0,29,0.47562
25.0,25,0.481424
19.0,19,0.486249
28.0,28,0.493155
22.0,22,0.498618
12.0,12,0.501245
23.0,23,0.506996
24.0,24,0.512732
14.0,14,0.51601
12.0,12,0.518679
21.0,21,0.52404
17.0,17,0.528116
75.0,75,0.546974
38.0,38,0.556096
22.0,22,0.561668
36.0,36,0.570946
23.0,23,0.576349
26.0,26,0.582882
18.0,18,0.587257
15.0,15,0.591025
22.0,22,0.596404
15.0,15,0.599716
19.0,19,0.60443
15.0,15,0.608923
13.0,13,0.612817
19.0,19,0.61727
16.0,16,0.621422
24.0,24,0.62751
21.0,21,0.632629
15.0,15,0.63633
23.0,23,0.642044
19.0,19,0.64658
15.0,15,0.650004
12.0,12,0.653098
14.0,14,0.656195
17.0,17,0.660221
32.0,32,0.668093
46.0,46,0.679396
16.0,16,0.683255
28.0,28,0.690329
14.0,14,0.693751
12.0,12,0.696672
15.0,15,0.700329
45.0,45,0.711378
13.0,13,0.714472
8.0,8,0.716516
27.0,27,0.72277
26.0,26,0.728506
19.0,19,0.733211
27.0,27,0.740069
24.0,24,0.745928
11.0,11,0.748554
27.0,27,0.755226
11.0,11,0.757649
13.0,13,0.760946
18.0,18,0.765077
11.0,11,0.767489
9.0,9,0.770061
14.0,14,0.773405
17.0,17,0.777088
12.0,12,0.779717
12.0,12,0.782566
13.0,13,0.786126
30.0,30,0.792989
10.0,10,0.795507
15.0,15,0.799071
15.0,15,0.802791
17.0,17,0.807111
10.0,10,0.809251
25.0,25,0.815468
23.0,23,0.820975
21.0,21,0.82628
11.0,11,0.828722
45.0,45,0.84016
14.0,14,0.843395
11.0,11,0.845793
27.0,27,0.8521
12.0,12,0.855358
17.0,17,0.859447
27.0,27,0.866183
28.0,28,0.873201
14.0,14,0.876528
25.0,25,0.882506
23.0,23,0.887935
12.0,12,0.890677
15.0,15,0.894349
19.0,19,0.898864
28.0,28,0.905908
21.0,21,0.911601
23.0,23,4.351595
19.0,19,4.356212
61.0,61,4.370247
22.0,22,4.375155
49.0,49,4.386385
15.0,15,4.389844
16.0,16,4.393519
65.0,65,4.408435
31.0,31,4.416406
73.0,73,4.434997
114.0,114,4.462809
26.0,26,4.468896
28.0,28,4.476016
20.0,20,4.480847
41.0,41,4.491223
25.0,25,4.497652
84.0,84,4.518929
65.0,65,4.535206
79.0,79,4.553935
14.0,14,4.557153
62.0,62,4.572261
31.0,31,4.57991
58.0,58,4.593999
21.0,21,4.598947
10.0,10,4.601664
82.0,82,4.622239
13.0,13,4.625405
27.0,27,4.631974
48.0,48,4.643322
14.0,14,4.646534
21.0,21,4.651842
13.0,13,4.655013
24.0,24,4.660719
21.0,21,4.666069
25.0,25,4.672109
43.0,43,4.682426
47.0,47,4.693218
74.0,74,4.711608
16.0,16,4.715415
55.0,55,4.728261
20.0,20,4.73278
35.0,35,4.741158
150.0,150,4.775473
156.0,156,4.816842
18.0,18,4.820978
13.0,13,4.824507
157.0,157,8.230647
74.0,74,8.24782
107.0,107,8.272716
15.0,15,8.276379
167.0,167,8.314361
90.0,90,8.334848
116.0,116,8.361601
107.0,107,8.385701
48.0,48,8.396773
177.0,177,8.437655
19.0,19,8.441864
140.0,140,8.473981
135.0,135,8.504867
204.0,204,8.552012
115.0,115,8.578441
50.0,50,8.590447
31.0,31,8.597552
22.0,22,8.602091
35.0,35,8.610379
136.0,136,8.642451
33.0,33,8.650244
275.0,275,12.137427
158.0,158,12.173952
293.0,293,12.243088
94.0,94,12.266351
157.0,157,12.304335
141.0,141,12.33783
264.0,264,12.399448
161.0,161,12.436541
187.0,187,12.479438
146.0,146,12.514069
39.0,39,12.522962
51.0,51,12.535445
209.0,209,12.584352
160.0,160,16.065082
231.0,231,16.119484
412.0,412,16.217668
242.0,242,16.274088
214.0,214,16.324634
276.0,276,16.38913
132.0,132,16.420326
222.0,222,16.470893
413.0,413,20.004548
280.0,280,20.06988
474.0,474,20.180563
276.0,276,20.245668
495.0,495,20.36293
345.0,345,23.821146
500.0,500,23.932252
421.0,421,24.02559
260.0,260,24.085025
479.0,479,24.194898
471.0,471,27.691873
425.0,425,27.789931
500.0,500,27.904473
500.0,500,28.020771
500.0,500,31.512469
500.0,500,31.622605
500.0,500,31.733584
500.0,500,31.842226
500.0,500,31.949688
500.0,500,35.436588
500.0,500,35.553429
500.0,500,35.667407
500.0,500,35.782029
500.0,500,39.259439
500.0,500,39.374509
500.0,500,39.492152
500.0,500,39.608852
500.0,500,43.094756
500.0,500,43.209545
500.0,500,43.323734
500.0,500,43.438586
500.0,500,46.936104
500.0,500,47.052222
500.0,500,47.16807
500.0,500,47.283647
500.0,500,50.795607
500.0,500,50.911112
500.0,500,51.027231
500.0,500,51.142906
500.0,500,54.597618
500.0,500,54.714375
500.0,500,54.831948
500.0,500,54.947922
500.0,500,58.433684
500.0,500,58.549975
500.0,500,58.666445
500.0,500,58.78239
500.0,500,62.285323
500.0,500,62.400943
500.0,500,62.515635
500.0,500,62.630166
500.0,500,66.130961
500.0,500,66.248238
500.0,500,66.362994
500.0,500,66.477654
500.0,500,69.957881
500.0,500,70.075368
500.0,500,70.190425
500.0,500,70.309891
500.0,500,70.425528
500.0,500,73.903485
500.0,500,74.018446
500.0,500,74.133139
500.0,500,74.247554
500.0,500,77.742104
500.0,500,77.857511
500.0,500,77.972301
500.0,500,78.088187
